11/01/2022 16:44:45: Started Running
11/01/2022 16:44:46: Training models
11/01/2022 16:45:03: Initiates models
11/01/2022 16:45:21: Starting DA process
11/01/2022 16:53:07: Saving results at step=0
11/01/2022 18:11:16: Saving results at step=10
11/01/2022 19:29:44: Saving results at step=20
11/01/2022 20:48:01: Saving results at step=30
11/01/2022 22:08:17: Saving results at step=40
11/01/2022 23:27:54: Saving results at step=50
12/01/2022 00:46:39: Saving results at step=60
12/01/2022 02:05:11: Saving results at step=70
12/01/2022 03:21:24: Saving results at step=80
12/01/2022 04:39:37: Saving results at step=90
12/01/2022 05:56:51: Saving results at step=100
12/01/2022 07:16:16: Saving results at step=110
12/01/2022 08:33:26: Saving results at step=120
12/01/2022 09:51:25: Saving results at step=130
12/01/2022 11:08:54: Saving results at step=140
12/01/2022 12:26:10: Saving results at step=150
12/01/2022 13:44:48: Saving results at step=160
12/01/2022 15:02:43: Saving results at step=170
12/01/2022 16:20:52: Saving results at step=180
12/01/2022 17:39:26: Saving results at step=190
12/01/2022 18:57:25: Saving results at step=200
12/01/2022 20:16:21: Saving results at step=210
12/01/2022 21:34:53: Saving results at step=220
12/01/2022 22:52:51: Saving results at step=230
13/01/2022 00:10:44: Saving results at step=240
13/01/2022 01:28:10: Saving results at step=250
13/01/2022 02:46:29: Saving results at step=260
13/01/2022 04:04:29: Saving results at step=270
13/01/2022 05:21:40: Saving results at step=280
13/01/2022 06:39:37: Saving results at step=290
13/01/2022 07:57:38: Saving results at step=300
13/01/2022 09:16:08: Saving results at step=310
13/01/2022 10:34:18: Saving results at step=320
13/01/2022 11:52:30: Saving results at step=330
13/01/2022 13:10:56: Saving results at step=340
13/01/2022 14:28:22: Saving results at step=350
13/01/2022 15:46:28: Saving results at step=360
13/01/2022 17:04:30: Saving results at step=370
13/01/2022 18:22:02: Saving results at step=380
13/01/2022 19:40:48: Saving results at step=390
13/01/2022 20:59:24: Saving results at step=400
13/01/2022 22:17:12: Saving results at step=410
13/01/2022 23:33:56: Saving results at step=420
14/01/2022 00:53:05: Saving results at step=430
14/01/2022 02:12:42: Saving results at step=440
14/01/2022 03:30:36: Saving results at step=450
14/01/2022 04:47:16: Saving results at step=460
14/01/2022 06:05:25: Saving results at step=470
14/01/2022 07:24:43: Saving results at step=480
14/01/2022 08:42:09: Saving results at step=490
14/01/2022 09:59:31: Saving results at step=500
14/01/2022 11:17:46: Saving results at step=510
14/01/2022 12:36:01: Saving results at step=520
14/01/2022 13:54:11: Saving results at step=530
14/01/2022 15:12:21: Saving results at step=540
14/01/2022 16:31:30: Saving results at step=550
14/01/2022 17:48:54: Saving results at step=560
14/01/2022 19:05:30: Saving results at step=570
14/01/2022 20:24:53: Saving results at step=580
14/01/2022 21:44:43: Saving results at step=590
14/01/2022 23:01:21: Saving results at step=600
15/01/2022 00:19:09: Saving results at step=610
15/01/2022 01:37:29: Saving results at step=620
15/01/2022 02:55:36: Saving results at step=630
15/01/2022 04:14:21: Saving results at step=640
15/01/2022 05:33:01: Saving results at step=650
15/01/2022 06:51:50: Saving results at step=660
15/01/2022 08:09:21: Saving results at step=670
15/01/2022 09:26:22: Saving results at step=680
15/01/2022 10:46:37: Saving results at step=690
15/01/2022 12:03:53: Saving results at step=700
15/01/2022 13:22:31: Saving results at step=710
15/01/2022 14:39:40: Saving results at step=720
15/01/2022 15:56:10: Saving results at step=730
15/01/2022 17:13:20: Saving results at step=740
15/01/2022 18:31:11: Saving results at step=750
15/01/2022 19:47:17: Saving results at step=760
15/01/2022 21:05:08: Saving results at step=770
15/01/2022 22:22:07: Saving results at step=780
15/01/2022 23:43:02: Saving results at step=790
16/01/2022 01:00:33: Saving results at step=800
16/01/2022 02:18:24: Saving results at step=810
16/01/2022 03:36:00: Saving results at step=820
16/01/2022 04:53:32: Saving results at step=830
16/01/2022 06:10:55: Saving results at step=840
16/01/2022 07:05:59: Done!
