27/12/2021 00:55:52: Started Running
27/12/2021 00:55:52: Training models
27/12/2021 02:25:46: Initiates models
27/12/2021 02:26:02: Starting DA process
27/12/2021 02:29:15: Saving results at step=0
27/12/2021 03:01:42: Saving results at step=10
27/12/2021 03:33:59: Saving results at step=20
27/12/2021 04:06:20: Saving results at step=30
27/12/2021 04:38:48: Saving results at step=40
27/12/2021 05:12:21: Saving results at step=50
27/12/2021 05:45:33: Saving results at step=60
27/12/2021 06:19:58: Saving results at step=70
27/12/2021 06:53:00: Saving results at step=80
27/12/2021 07:26:03: Saving results at step=90
27/12/2021 07:59:07: Saving results at step=100
27/12/2021 08:32:36: Saving results at step=110
27/12/2021 09:05:21: Saving results at step=120
27/12/2021 09:38:05: Saving results at step=130
27/12/2021 10:10:58: Saving results at step=140
27/12/2021 10:43:59: Saving results at step=150
27/12/2021 11:17:05: Saving results at step=160
27/12/2021 11:49:46: Saving results at step=170
27/12/2021 12:23:26: Saving results at step=180
27/12/2021 12:57:36: Saving results at step=190
27/12/2021 13:31:11: Saving results at step=200
27/12/2021 14:04:12: Saving results at step=210
27/12/2021 14:37:52: Saving results at step=220
27/12/2021 15:11:13: Saving results at step=230
27/12/2021 15:43:59: Saving results at step=240
27/12/2021 16:16:48: Saving results at step=250
27/12/2021 16:49:32: Saving results at step=260
27/12/2021 17:22:19: Saving results at step=270
27/12/2021 17:56:39: Saving results at step=280
27/12/2021 18:29:51: Saving results at step=290
27/12/2021 19:03:08: Saving results at step=300
27/12/2021 19:36:19: Saving results at step=310
27/12/2021 20:09:28: Saving results at step=320
27/12/2021 20:42:36: Saving results at step=330
27/12/2021 21:15:33: Saving results at step=340
27/12/2021 21:48:25: Saving results at step=350
27/12/2021 22:21:41: Saving results at step=360
27/12/2021 22:54:56: Saving results at step=370
27/12/2021 23:28:05: Saving results at step=380
28/12/2021 00:01:23: Saving results at step=390
28/12/2021 00:34:35: Saving results at step=400
28/12/2021 01:08:23: Saving results at step=410
28/12/2021 01:43:10: Saving results at step=420
28/12/2021 02:16:31: Saving results at step=430
28/12/2021 02:49:45: Saving results at step=440
28/12/2021 03:22:42: Saving results at step=450
28/12/2021 03:55:56: Saving results at step=460
28/12/2021 04:29:08: Saving results at step=470
28/12/2021 05:02:05: Saving results at step=480
28/12/2021 05:35:16: Saving results at step=490
28/12/2021 06:08:34: Saving results at step=500
28/12/2021 06:41:31: Saving results at step=510
28/12/2021 07:15:15: Saving results at step=520
28/12/2021 07:48:18: Saving results at step=530
28/12/2021 08:21:03: Saving results at step=540
28/12/2021 08:53:49: Saving results at step=550
28/12/2021 09:27:02: Saving results at step=560
28/12/2021 10:00:36: Saving results at step=570
28/12/2021 10:33:29: Saving results at step=580
28/12/2021 11:07:29: Saving results at step=590
28/12/2021 11:41:39: Saving results at step=600
28/12/2021 12:15:38: Saving results at step=610
28/12/2021 12:48:56: Saving results at step=620
28/12/2021 13:21:48: Saving results at step=630
28/12/2021 13:54:50: Saving results at step=640
28/12/2021 14:27:58: Saving results at step=650
28/12/2021 15:02:06: Saving results at step=660
28/12/2021 15:34:58: Saving results at step=670
28/12/2021 16:07:30: Saving results at step=680
28/12/2021 16:41:53: Saving results at step=690
28/12/2021 17:16:56: Saving results at step=700
28/12/2021 17:51:18: Saving results at step=710
28/12/2021 18:25:43: Saving results at step=720
28/12/2021 18:59:51: Saving results at step=730
28/12/2021 19:33:44: Saving results at step=740
28/12/2021 20:07:48: Saving results at step=750
28/12/2021 20:41:35: Saving results at step=760
28/12/2021 21:15:36: Saving results at step=770
28/12/2021 21:49:16: Saving results at step=780
28/12/2021 22:23:18: Saving results at step=790
28/12/2021 22:57:22: Saving results at step=800
28/12/2021 23:31:33: Saving results at step=810
29/12/2021 00:05:31: Saving results at step=820
29/12/2021 00:39:23: Saving results at step=830
29/12/2021 01:13:20: Saving results at step=840
29/12/2021 01:37:13: Done!
