24/12/2021 12:49:36: Started Running
24/12/2021 12:49:36: Training models
24/12/2021 13:05:23: Initiates models
24/12/2021 13:05:40: Starting DA process
24/12/2021 13:13:19: Saving results at step=0
24/12/2021 14:32:02: Saving results at step=10
24/12/2021 15:48:11: Saving results at step=20
24/12/2021 17:05:47: Saving results at step=30
24/12/2021 18:23:02: Saving results at step=40
24/12/2021 19:40:50: Saving results at step=50
24/12/2021 20:57:43: Saving results at step=60
24/12/2021 22:15:42: Saving results at step=70
24/12/2021 23:33:12: Saving results at step=80
25/12/2021 00:51:00: Saving results at step=90
25/12/2021 02:08:52: Saving results at step=100
25/12/2021 03:25:02: Saving results at step=110
25/12/2021 04:42:23: Saving results at step=120
25/12/2021 05:58:43: Saving results at step=130
25/12/2021 07:15:54: Saving results at step=140
25/12/2021 08:33:57: Saving results at step=150
25/12/2021 09:51:10: Saving results at step=160
25/12/2021 11:08:01: Saving results at step=170
25/12/2021 12:25:07: Saving results at step=180
25/12/2021 13:43:48: Saving results at step=190
25/12/2021 15:00:41: Saving results at step=200
25/12/2021 16:19:31: Saving results at step=210
25/12/2021 17:36:06: Saving results at step=220
25/12/2021 18:53:32: Saving results at step=230
25/12/2021 20:10:25: Saving results at step=240
25/12/2021 21:28:57: Saving results at step=250
25/12/2021 22:46:30: Saving results at step=260
26/12/2021 00:03:33: Saving results at step=270
26/12/2021 01:20:54: Saving results at step=280
26/12/2021 02:38:03: Saving results at step=290
26/12/2021 03:55:30: Saving results at step=300
26/12/2021 05:12:53: Saving results at step=310
26/12/2021 06:30:04: Saving results at step=320
26/12/2021 07:49:28: Saving results at step=330
26/12/2021 09:06:22: Saving results at step=340
26/12/2021 10:23:08: Saving results at step=350
26/12/2021 11:40:51: Saving results at step=360
26/12/2021 12:58:36: Saving results at step=370
26/12/2021 14:15:26: Saving results at step=380
26/12/2021 15:32:09: Saving results at step=390
26/12/2021 16:51:18: Saving results at step=400
26/12/2021 18:08:43: Saving results at step=410
26/12/2021 19:25:47: Saving results at step=420
26/12/2021 20:42:10: Saving results at step=430
26/12/2021 21:58:14: Saving results at step=440
26/12/2021 23:15:27: Saving results at step=450
27/12/2021 00:33:45: Saving results at step=460
27/12/2021 01:52:19: Saving results at step=470
27/12/2021 03:10:42: Saving results at step=480
27/12/2021 04:27:47: Saving results at step=490
27/12/2021 05:46:01: Saving results at step=500
27/12/2021 07:03:07: Saving results at step=510
27/12/2021 08:19:54: Saving results at step=520
27/12/2021 09:39:00: Saving results at step=530
27/12/2021 10:55:32: Saving results at step=540
27/12/2021 12:12:14: Saving results at step=550
27/12/2021 13:28:31: Saving results at step=560
27/12/2021 14:46:18: Saving results at step=570
27/12/2021 16:04:11: Saving results at step=580
27/12/2021 17:20:58: Saving results at step=590
27/12/2021 18:37:45: Saving results at step=600
27/12/2021 19:54:08: Saving results at step=610
27/12/2021 21:12:34: Saving results at step=620
27/12/2021 22:29:20: Saving results at step=630
27/12/2021 23:45:44: Saving results at step=640
28/12/2021 01:02:58: Saving results at step=650
28/12/2021 02:20:18: Saving results at step=660
28/12/2021 03:38:00: Saving results at step=670
28/12/2021 04:55:47: Saving results at step=680
28/12/2021 06:11:21: Saving results at step=690
28/12/2021 07:28:57: Saving results at step=700
28/12/2021 08:48:17: Saving results at step=710
28/12/2021 10:07:44: Saving results at step=720
28/12/2021 11:24:55: Saving results at step=730
28/12/2021 12:42:41: Saving results at step=740
28/12/2021 13:59:28: Saving results at step=750
28/12/2021 15:16:32: Saving results at step=760
28/12/2021 16:33:54: Saving results at step=770
28/12/2021 17:52:59: Saving results at step=780
28/12/2021 19:11:15: Saving results at step=790
28/12/2021 20:28:22: Saving results at step=800
28/12/2021 21:44:40: Saving results at step=810
28/12/2021 23:00:56: Saving results at step=820
29/12/2021 00:19:03: Saving results at step=830
29/12/2021 01:35:40: Saving results at step=840
29/12/2021 02:29:44: Done!
