29/11/2021 21:23:16: Started Running
29/11/2021 21:23:16: Training models
29/11/2021 21:26:21: Initiates models
29/11/2021 21:26:37: Starting DA process
29/11/2021 21:29:53: Saving results at step=0
29/11/2021 22:03:08: Saving results at step=10
29/11/2021 22:36:30: Saving results at step=20
29/11/2021 23:09:56: Saving results at step=30
29/11/2021 23:43:52: Saving results at step=40
30/11/2021 00:16:57: Saving results at step=50
30/11/2021 00:49:50: Saving results at step=60
30/11/2021 01:22:29: Saving results at step=70
30/11/2021 01:55:22: Saving results at step=80
30/11/2021 02:28:24: Saving results at step=90
30/11/2021 03:00:59: Saving results at step=10
030/11/2021 03:34:00: Saving results at step=110
30/11/2021 04:06:46: Saving results at step=120
30/11/2021 04:39:36: Saving results at step=130
30/11/2021 05:12:23: Saving results at step=140
30/11/2021 05:45:42: Saving results at step=150
30/11/2021 06:18:18: Saving results at step=160
30/11/2021 06:51:06: Saving results at step=170
30/11/2021 07:23:33: Saving results at step=180
30/11/2021 07:56:11: Saving results at step=190
30/11/2021 08:29:11: Saving results at step=20
030/11/2021 09:02:24: Saving results at step=210
30/11/2021 09:35:01: Saving results at step=220
30/11/2021 10:08:38: Saving results at step=230
30/11/2021 10:41:30: Saving results at step=240
30/11/2021 11:14:22: Saving results at step=250
30/11/2021 11:47:08: Saving results at step=260
30/11/2021 12:20:10: Saving results at step=270
30/11/2021 12:53:02: Saving results at step=280
30/11/2021 13:25:47: Saving results at step=290
30/11/2021 13:58:26: Saving results at step=30
030/11/2021 14:31:16: Saving results at step=310
30/11/2021 15:04:29: Saving results at step=320
30/11/2021 15:37:36: Saving results at step=330
30/11/2021 16:10:17: Saving results at step=340
30/11/2021 16:43:11: Saving results at step=350
30/11/2021 17:16:07: Saving results at step=360
30/11/2021 17:48:58: Saving results at step=370
30/11/2021 18:22:09: Saving results at step=380
30/11/2021 18:55:15: Saving results at step=390
30/11/2021 19:28:24: Saving results at step=40
030/11/2021 20:01:16: Saving results at step=410
30/11/2021 20:34:06: Saving results at step=420
30/11/2021 21:07:05: Saving results at step=430
30/11/2021 21:40:05: Saving results at step=440
30/11/2021 22:12:55: Saving results at step=450
30/11/2021 22:45:51: Saving results at step=460
30/11/2021 23:19:06: Saving results at step=470
30/11/2021 23:52:14: Saving results at step=480
01/12/2021 00:25:08: Saving results at step=490
01/12/2021 00:57:55: Saving results at step=50
001/12/2021 01:30:49: Saving results at step=510
01/12/2021 02:03:44: Saving results at step=520
01/12/2021 02:36:25: Saving results at step=530
01/12/2021 03:09:14: Saving results at step=540
01/12/2021 03:42:49: Saving results at step=550
01/12/2021 04:15:51: Saving results at step=560
01/12/2021 04:48:56: Saving results at step=570
01/12/2021 05:21:55: Saving results at step=580
01/12/2021 05:54:47: Saving results at step=590
01/12/2021 06:27:41: Saving results at step=60
001/12/2021 07:00:44: Saving results at step=610
01/12/2021 07:33:47: Saving results at step=620
01/12/2021 08:07:16: Saving results at step=630
01/12/2021 08:40:05: Saving results at step=640
01/12/2021 09:13:06: Saving results at step=650
01/12/2021 09:45:48: Saving results at step=660
01/12/2021 10:18:58: Saving results at step=670
01/12/2021 10:52:02: Saving results at step=680
01/12/2021 11:24:59: Saving results at step=690
01/12/2021 11:58:20: Saving results at step=70
001/12/2021 12:31:28: Saving results at step=710
01/12/2021 13:04:54: Saving results at step=720
01/12/2021 13:37:57: Saving results at step=730
01/12/2021 14:11:02: Saving results at step=740
01/12/2021 14:43:56: Saving results at step=750
01/12/2021 15:17:05: Saving results at step=760
01/12/2021 15:50:05: Saving results at step=770
01/12/2021 16:23:20: Saving results at step=780
01/12/2021 16:56:35: Saving results at step=790
01/12/2021 17:29:48: Saving results at step=80
001/12/2021 18:02:36: Saving results at step=810
01/12/2021 18:35:32: Saving results at step=820
01/12/2021 19:09:06: Saving results at step=830
01/12/2021 19:42:58: Saving results at step=840
01/12/2021 20:06:16: Done!
